texto_pedido,contem_dados_pessoais
Segue em anexo meus documentos (CPF 726.038.541-35) para provar que sou eu pedindo sobre a licitação 6065.,True
Quantos leitos de UTI estão disponíveis atualmente no Hospital de Base?,False
"Gostaria de saber o salário exato do meu vizinho Otto Novaes, que trabalha aí.",True
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Por favor enviar a resposta exclusivamente para o email pessoal: luisa87@ig.com.br.,True
Por favor enviar a resposta exclusivamente para o email pessoal: aurora00@bol.com.br.,True
Gostaria de saber o valor total gasto com publicidade institucional no ano de 2022.,False
"Solicito meu histórico funcional. Segue meus dados: Maria Isis Borges, matrícula 35960, tel +55 (46) 93348 8933.",True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Minha mãe, Eloá Araújo, está aguardando cirurgia. O CPF dela é 157.908.236-02. Qual a posição na fila?",True
Solicito o valor do repasse federal recebido para merenda escolar este mês.,False
"Minha mãe, Sra. Stephany Sousa, está aguardando cirurgia. O CPF dela é 315.468.270-80. Qual a posição na fila?",True
Solicito cópia integral do contrato nº 1000/2024 referente à licitação de limpeza urbana.,False
Há previsão para concurso público para o cargo de Auditor de Controle Interno?,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Qual a quantidade de médicos pediatras efetivos na rede pública?,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em junho/2023.,False
Solicito cópia integral do contrato nº 68/2023 referente à licitação de limpeza urbana.,False
"Moro na Distrito de Sá, 16 e quero denunciar um buraco na porta da minha casa.",True
"Moro na Rodovia de da Costa, 44 e quero denunciar um buraco na porta da minha casa.",True
Solicito o inteiro teor do parecer jurídico sobre a inexigibilidade de licitação 3226.,False
"Gostaria de saber o salário exato do meu vizinho Igor Porto, que trabalha aí.",True
"Gostaria de saber o salário exato do meu vizinho Heitor Novaes, que trabalha aí.",True
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
"Eu, Hadassa Fonseca, RG 742683102, venho requerer minha ficha financeira de 2023.",True
Solicito cópia integral do contrato nº 8330/2019 referente à licitação de limpeza urbana.,False
Requeiro a lista de cargos em comissão ativos na Secretaria de Saúde em fevereiro/2019.,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Peço planilha com a execução orçamentária do projeto Brasília Iluminada.,False
Gostaria de acessar as atas das reuniões do conselho de saúde realizadas em 2019.,False
Gostaria de saber os critérios para seleção dos beneficiários do programa social X.,False
Solicito dados estatísticos sobre acidentes de trânsito na EPTG no último semestre.,False
